Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.2887, rec_loss 0.0311, lpips_loss 0.2576, g_loss -0.0333, disc_weight 0.0000, disc_adaptive_weight 2.8202, codebook_loss 0.5986, utilization 0.2023, perplexity 11950.4553, d_loss 0.0000, logits_real 0.0322, logits_fake 0.0343,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.2894, rec_loss 0.0310, lpips_loss 0.2584, g_loss -0.0322, disc_weight 0.0000, disc_adaptive_weight 2.8652, codebook_loss 0.5958, utilization 0.2025, perplexity 11967.1394, d_loss 0.0000, logits_real 0.0308, logits_fake 0.0325,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.2898, rec_loss 0.0309, lpips_loss 0.2589, g_loss -0.0312, disc_weight 0.0000, disc_adaptive_weight 2.7691, codebook_loss 0.5971, utilization 0.2026, perplexity 11979.7568, d_loss 0.0000, logits_real 0.0310, logits_fake 0.0317,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.2888, rec_loss 0.0307, lpips_loss 0.2582, g_loss -0.0330, disc_weight 0.0000, disc_adaptive_weight 2.6490, codebook_loss 0.5991, utilization 0.2025, perplexity 11950.0123, d_loss 0.0000, logits_real 0.0325, logits_fake 0.0326,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.2891, rec_loss 0.0307, lpips_loss 0.2584, g_loss -0.0329, disc_weight 0.0000, disc_adaptive_weight 2.5812, codebook_loss 0.5961, utilization 0.2025, perplexity 11959.2207, d_loss 0.0000, logits_real 0.0329, logits_fake 0.0317,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.2883, rec_loss 0.0303, lpips_loss 0.2580, g_loss -0.0356, disc_weight 0.0000, disc_adaptive_weight 2.6421, codebook_loss 0.5940, utilization 0.2026, perplexity 11967.3012, d_loss 0.0000, logits_real 0.0350, logits_fake 0.0337,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.2872, rec_loss 0.0304, lpips_loss 0.2568, g_loss -0.0345, disc_weight 0.0000, disc_adaptive_weight 2.5450, codebook_loss 0.5921, utilization 0.2024, perplexity 11939.6298, d_loss 0.0000, logits_real 0.0348, logits_fake 0.0336,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.2869, rec_loss 0.0304, lpips_loss 0.2565, g_loss -0.0340, disc_weight 0.0000, disc_adaptive_weight 2.6989, codebook_loss 0.5910, utilization 0.2026, perplexity 11964.0922, d_loss 0.0000, logits_real 0.0346, logits_fake 0.0328,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.2857, rec_loss 0.0302, lpips_loss 0.2556, g_loss -0.0330, disc_weight 0.0000, disc_adaptive_weight 2.7187, codebook_loss 0.5880, utilization 0.2023, perplexity 11948.1759, d_loss 0.0000, logits_real 0.0340, logits_fake 0.0324,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.2849, rec_loss 0.0298, lpips_loss 0.2551, g_loss -0.0321, disc_weight 0.0000, disc_adaptive_weight 2.7931, codebook_loss 0.5882, utilization 0.2024, perplexity 11966.2249, d_loss 0.0000, logits_real 0.0336, logits_fake 0.0325,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.2849, rec_loss 0.0300, lpips_loss 0.2550, g_loss -0.0301, disc_weight 0.0000, disc_adaptive_weight 2.6792, codebook_loss 0.5894, utilization 0.2023, perplexity 11971.3819, d_loss 0.0000, logits_real 0.0323, logits_fake 0.0314,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.2846, rec_loss 0.0296, lpips_loss 0.2550, g_loss -0.0324, disc_weight 0.0000, disc_adaptive_weight 2.7199, codebook_loss 0.5883, utilization 0.2024, perplexity 11986.9733, d_loss 0.0000, logits_real 0.0326, logits_fake 0.0324,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.2853, rec_loss 0.0295, lpips_loss 0.2558, g_loss -0.0306, disc_weight 0.0000, disc_adaptive_weight 2.7365, codebook_loss 0.5901, utilization 0.2026, perplexity 12020.2920, d_loss 0.0000, logits_real 0.0303, logits_fake 0.0310,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.2855, rec_loss 0.0295, lpips_loss 0.2560, g_loss -0.0318, disc_weight 0.0000, disc_adaptive_weight 2.8176, codebook_loss 0.5887, utilization 0.2029, perplexity 12035.8473, d_loss 0.0000, logits_real 0.0309, logits_fake 0.0326,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.2857, rec_loss 0.0296, lpips_loss 0.2561, g_loss -0.0324, disc_weight 0.0000, disc_adaptive_weight 2.9005, codebook_loss 0.5870, utilization 0.2028, perplexity 12025.8842, d_loss 0.0000, logits_real 0.0308, logits_fake 0.0329,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.2854, rec_loss 0.0298, lpips_loss 0.2556, g_loss -0.0349, disc_weight 0.0000, disc_adaptive_weight 2.9410, codebook_loss 0.5855, utilization 0.2028, perplexity 12001.5422, d_loss 0.0000, logits_real 0.0322, logits_fake 0.0346,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.2851, rec_loss 0.0299, lpips_loss 0.2552, g_loss -0.0327, disc_weight 0.0000, disc_adaptive_weight 2.9905, codebook_loss 0.5866, utilization 0.2028, perplexity 11993.5550, d_loss 0.0000, logits_real 0.0318, logits_fake 0.0334,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.2837, rec_loss 0.0299, lpips_loss 0.2538, g_loss -0.0344, disc_weight 0.0000, disc_adaptive_weight 3.0105, codebook_loss 0.5831, utilization 0.2026, perplexity 11968.9783, d_loss 0.0000, logits_real 0.0345, logits_fake 0.0346,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.2853, rec_loss 0.0303, lpips_loss 0.2550, g_loss -0.0328, disc_weight 0.0000, disc_adaptive_weight 2.9248, codebook_loss 0.5840, utilization 0.2027, perplexity 11994.7140, d_loss 0.0000, logits_real 0.0338, logits_fake 0.0330,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.2864, rec_loss 0.0307, lpips_loss 0.2557, g_loss -0.0317, disc_weight 0.0000, disc_adaptive_weight 2.9567, codebook_loss 0.5872, utilization 0.2027, perplexity 11984.3441, d_loss 0.0000, logits_real 0.0330, logits_fake 0.0321,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.2853, rec_loss 0.0304, lpips_loss 0.2549, g_loss -0.0301, disc_weight 0.0000, disc_adaptive_weight 2.9312, codebook_loss 0.5865, utilization 0.2026, perplexity 11967.0394, d_loss 0.0000, logits_real 0.0323, logits_fake 0.0313,
