Train Epoch: [1/5] Iters:[1710/10009] transplant_loss 6.1081, rec_loss 0.0516, quant_error 0.4576,
Train Epoch: [1/5] Iters:[1720/10009] transplant_loss 6.0970, rec_loss 0.0517, quant_error 0.4566,
Train Epoch: [1/5] Iters:[1730/10009] transplant_loss 6.1230, rec_loss 0.0518, quant_error 0.4583,
Train Epoch: [1/5] Iters:[1740/10009] transplant_loss 6.1345, rec_loss 0.0521, quant_error 0.4590,
Train Epoch: [1/5] Iters:[1750/10009] transplant_loss 6.1579, rec_loss 0.0523, quant_error 0.4605,
Train Epoch: [1/5] Iters:[1760/10009] transplant_loss 6.1430, rec_loss 0.0526, quant_error 0.4593,
Train Epoch: [1/5] Iters:[1770/10009] transplant_loss 6.1455, rec_loss 0.0525, quant_error 0.4593,
Train Epoch: [1/5] Iters:[1780/10009] transplant_loss 6.1157, rec_loss 0.0523, quant_error 0.4569,
Train Epoch: [1/5] Iters:[1790/10009] transplant_loss 6.0800, rec_loss 0.0525, quant_error 0.4542,
Train Epoch: [1/5] Iters:[1800/10009] transplant_loss 6.0713, rec_loss 0.0524, quant_error 0.4534,
Train Epoch: [1/5] Iters:[1810/10009] transplant_loss 6.0764, rec_loss 0.0520, quant_error 0.4535,
Train Epoch: [1/5] Iters:[1820/10009] transplant_loss 6.0465, rec_loss 0.0517, quant_error 0.4512,
Train Epoch: [1/5] Iters:[1830/10009] transplant_loss 6.0371, rec_loss 0.0518, quant_error 0.4503,
Train Epoch: [1/5] Iters:[1840/10009] transplant_loss 6.0427, rec_loss 0.0510, quant_error 0.4506,
Train Epoch: [1/5] Iters:[1850/10009] transplant_loss 6.0593, rec_loss 0.0514, quant_error 0.4515,
Train Epoch: [1/5] Iters:[1860/10009] transplant_loss 6.0503, rec_loss 0.0513, quant_error 0.4506,
Train Epoch: [1/5] Iters:[1870/10009] transplant_loss 6.0579, rec_loss 0.0510, quant_error 0.4508,
Train Epoch: [1/5] Iters:[1880/10009] transplant_loss 6.0796, rec_loss 0.0511, quant_error 0.4522,
Train Epoch: [1/5] Iters:[1890/10009] transplant_loss 6.0746, rec_loss 0.0509, quant_error 0.4516,
Train Epoch: [1/5] Iters:[1900/10009] transplant_loss 6.0774, rec_loss 0.0509, quant_error 0.4517,
Train Epoch: [1/5] Iters:[1910/10009] transplant_loss 6.0642, rec_loss 0.0513, quant_error 0.4506,
Train Epoch: [1/5] Iters:[1920/10009] transplant_loss 6.0717, rec_loss 0.0517, quant_error 0.4511,
Train Epoch: [1/5] Iters:[1930/10009] transplant_loss 6.0655, rec_loss 0.0512, quant_error 0.4504,
Train Epoch: [1/5] Iters:[1940/10009] transplant_loss 6.0792, rec_loss 0.0518, quant_error 0.4512,
Train Epoch: [1/5] Iters:[1950/10009] transplant_loss 6.0599, rec_loss 0.0520, quant_error 0.4496,
Train Epoch: [1/5] Iters:[1960/10009] transplant_loss 6.0821, rec_loss 0.0520, quant_error 0.4511,
Train Epoch: [1/5] Iters:[1970/10009] transplant_loss 6.0645, rec_loss 0.0518, quant_error 0.4497,
Train Epoch: [1/5] Iters:[1980/10009] transplant_loss 6.0654, rec_loss 0.0519, quant_error 0.4499,
