Train Epoch: [1/5] Iters:[810/20018] gen_loss 0.3232, rec_loss 0.0336, lpips_loss 0.2896, g_loss 0.2101, disc_weight 0.0000, disc_adaptive_weight 3.0972, d_loss 0.0000, logits_real -0.2089, logits_fake -0.2108,
Train Epoch: [1/5] Iters:[820/20018] gen_loss 0.3230, rec_loss 0.0337, lpips_loss 0.2894, g_loss 0.2098, disc_weight 0.0000, disc_adaptive_weight 3.2137, d_loss 0.0000, logits_real -0.2093, logits_fake -0.2117,
Train Epoch: [1/5] Iters:[830/20018] gen_loss 0.3224, rec_loss 0.0336, lpips_loss 0.2887, g_loss 0.2073, disc_weight 0.0000, disc_adaptive_weight 3.0748, d_loss 0.0000, logits_real -0.2081, logits_fake -0.2095,
Train Epoch: [1/5] Iters:[840/20018] gen_loss 0.3216, rec_loss 0.0335, lpips_loss 0.2881, g_loss 0.2092, disc_weight 0.0000, disc_adaptive_weight 3.2546, d_loss 0.0000, logits_real -0.2105, logits_fake -0.2117,
Train Epoch: [1/5] Iters:[850/20018] gen_loss 0.3205, rec_loss 0.0332, lpips_loss 0.2873, g_loss 0.2093, disc_weight 0.0000, disc_adaptive_weight 3.3326, d_loss 0.0000, logits_real -0.2102, logits_fake -0.2117,
Train Epoch: [1/5] Iters:[860/20018] gen_loss 0.3205, rec_loss 0.0335, lpips_loss 0.2871, g_loss 0.2087, disc_weight 0.0000, disc_adaptive_weight 3.1649, d_loss 0.0000, logits_real -0.2104, logits_fake -0.2115,
Train Epoch: [1/5] Iters:[870/20018] gen_loss 0.3218, rec_loss 0.0336, lpips_loss 0.2883, g_loss 0.2086, disc_weight 0.0000, disc_adaptive_weight 3.2620, d_loss 0.0000, logits_real -0.2097, logits_fake -0.2101,
Train Epoch: [1/5] Iters:[880/20018] gen_loss 0.3224, rec_loss 0.0337, lpips_loss 0.2888, g_loss 0.2107, disc_weight 0.0000, disc_adaptive_weight 3.3029, d_loss 0.0000, logits_real -0.2097, logits_fake -0.2113,
Train Epoch: [1/5] Iters:[890/20018] gen_loss 0.3206, rec_loss 0.0332, lpips_loss 0.2874, g_loss 0.2114, disc_weight 0.0000, disc_adaptive_weight 3.3772, d_loss 0.0000, logits_real -0.2104, logits_fake -0.2119,
Train Epoch: [1/5] Iters:[900/20018] gen_loss 0.3222, rec_loss 0.0335, lpips_loss 0.2886, g_loss 0.2123, disc_weight 0.0000, disc_adaptive_weight 3.4299, d_loss 0.0000, logits_real -0.2099, logits_fake -0.2121,
Train Epoch: [1/5] Iters:[910/20018] gen_loss 0.3220, rec_loss 0.0334, lpips_loss 0.2886, g_loss 0.2103, disc_weight 0.0000, disc_adaptive_weight 3.8354, d_loss 0.0000, logits_real -0.2084, logits_fake -0.2097,
Train Epoch: [1/5] Iters:[920/20018] gen_loss 0.3192, rec_loss 0.0331, lpips_loss 0.2861, g_loss 0.2110, disc_weight 0.0000, disc_adaptive_weight 3.7558, d_loss 0.0000, logits_real -0.2083, logits_fake -0.2109,
Train Epoch: [1/5] Iters:[930/20018] gen_loss 0.3196, rec_loss 0.0333, lpips_loss 0.2863, g_loss 0.2111, disc_weight 0.0000, disc_adaptive_weight 3.7881, d_loss 0.0000, logits_real -0.2100, logits_fake -0.2111,
Train Epoch: [1/5] Iters:[940/20018] gen_loss 0.3197, rec_loss 0.0332, lpips_loss 0.2864, g_loss 0.2112, disc_weight 0.0000, disc_adaptive_weight 3.4353, d_loss 0.0000, logits_real -0.2095, logits_fake -0.2101,
Train Epoch: [1/5] Iters:[950/20018] gen_loss 0.3186, rec_loss 0.0330, lpips_loss 0.2856, g_loss 0.2119, disc_weight 0.0000, disc_adaptive_weight 3.4671, d_loss 0.0000, logits_real -0.2096, logits_fake -0.2112,
Train Epoch: [1/5] Iters:[960/20018] gen_loss 0.3187, rec_loss 0.0330, lpips_loss 0.2857, g_loss 0.2132, disc_weight 0.0000, disc_adaptive_weight 3.0092, d_loss 0.0000, logits_real -0.2124, logits_fake -0.2127,
Train Epoch: [1/5] Iters:[970/20018] gen_loss 0.3202, rec_loss 0.0332, lpips_loss 0.2869, g_loss 0.2138, disc_weight 0.0000, disc_adaptive_weight 3.0285, d_loss 0.0000, logits_real -0.2138, logits_fake -0.2142,
Train Epoch: [1/5] Iters:[980/20018] gen_loss 0.3193, rec_loss 0.0331, lpips_loss 0.2862, g_loss 0.2144, disc_weight 0.0000, disc_adaptive_weight 2.9417, d_loss 0.0000, logits_real -0.2130, logits_fake -0.2143,
Train Epoch: [1/5] Iters:[990/20018] gen_loss 0.3180, rec_loss 0.0331, lpips_loss 0.2849, g_loss 0.2135, disc_weight 0.0000, disc_adaptive_weight 3.0976, d_loss 0.0000, logits_real -0.2116, logits_fake -0.2130,
Train Epoch: [1/5] Iters:[1000/20018] gen_loss 0.3184, rec_loss 0.0335, lpips_loss 0.2849, g_loss 0.2149, disc_weight 0.0000, disc_adaptive_weight 3.3449, d_loss 0.0000, logits_real -0.2123, logits_fake -0.2125,
Train Epoch: [1/5] Iters:[1010/20018] gen_loss 0.3167, rec_loss 0.0331, lpips_loss 0.2836, g_loss 0.2156, disc_weight 0.0000, disc_adaptive_weight 3.4940, d_loss 0.0000, logits_real -0.2092, logits_fake -0.2129,
