Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.1766, rec_loss 0.0279, lpips_loss 0.1883, g_loss -0.0166, disc_weight 0.5000, disc_adaptive_weight 2.3869, d_loss 0.5622, logits_real 0.0174, logits_fake 0.0164,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.1785, rec_loss 0.0280, lpips_loss 0.1880, g_loss -0.0164, disc_weight 0.5000, disc_adaptive_weight 2.2850, d_loss 0.5607, logits_real 0.0172, logits_fake 0.0162,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.1771, rec_loss 0.0280, lpips_loss 0.1870, g_loss -0.0162, disc_weight 0.5000, disc_adaptive_weight 2.3392, d_loss 0.5584, logits_real 0.0169, logits_fake 0.0161,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.1796, rec_loss 0.0284, lpips_loss 0.1882, g_loss -0.0159, disc_weight 0.5000, disc_adaptive_weight 2.3197, d_loss 0.5570, logits_real 0.0166, logits_fake 0.0160,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.1835, rec_loss 0.0289, lpips_loss 0.1891, g_loss -0.0153, disc_weight 0.5000, disc_adaptive_weight 2.2526, d_loss 0.5556, logits_real 0.0160, logits_fake 0.0155,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.1816, rec_loss 0.0285, lpips_loss 0.1880, g_loss -0.0150, disc_weight 0.5000, disc_adaptive_weight 2.3256, d_loss 0.5549, logits_real 0.0156, logits_fake 0.0152,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.1807, rec_loss 0.0281, lpips_loss 0.1883, g_loss -0.0147, disc_weight 0.5000, disc_adaptive_weight 2.4450, d_loss 0.5531, logits_real 0.0151, logits_fake 0.0149,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.1813, rec_loss 0.0279, lpips_loss 0.1880, g_loss -0.0142, disc_weight 0.5000, disc_adaptive_weight 2.4322, d_loss 0.5518, logits_real 0.0148, logits_fake 0.0146,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.1805, rec_loss 0.0277, lpips_loss 0.1874, g_loss -0.0139, disc_weight 0.5000, disc_adaptive_weight 2.4883, d_loss 0.5509, logits_real 0.0144, logits_fake 0.0142,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.1800, rec_loss 0.0275, lpips_loss 0.1868, g_loss -0.0136, disc_weight 0.5000, disc_adaptive_weight 2.5147, d_loss 0.5503, logits_real 0.0140, logits_fake 0.0139,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.1838, rec_loss 0.0277, lpips_loss 0.1877, g_loss -0.0132, disc_weight 0.5000, disc_adaptive_weight 2.3819, d_loss 0.5492, logits_real 0.0135, logits_fake 0.0134,
Train Epoch: [1/5] Iters:[810/20018] gen_loss 0.1865, rec_loss 0.0280, lpips_loss 0.1877, g_loss -0.0128, disc_weight 0.5000, disc_adaptive_weight 2.2722, d_loss 0.5485, logits_real 0.0133, logits_fake 0.0130,
Train Epoch: [1/5] Iters:[820/20018] gen_loss 0.1874, rec_loss 0.0281, lpips_loss 0.1878, g_loss -0.0125, disc_weight 0.5000, disc_adaptive_weight 2.2724, d_loss 0.5477, logits_real 0.0129, logits_fake 0.0124,
Train Epoch: [1/5] Iters:[830/20018] gen_loss 0.1884, rec_loss 0.0279, lpips_loss 0.1870, g_loss -0.0121, disc_weight 0.5000, disc_adaptive_weight 2.1805, d_loss 0.5465, logits_real 0.0126, logits_fake 0.0120,
Train Epoch: [1/5] Iters:[840/20018] gen_loss 0.1877, rec_loss 0.0277, lpips_loss 0.1868, g_loss -0.0120, disc_weight 0.5000, disc_adaptive_weight 2.2270, d_loss 0.5448, logits_real 0.0124, logits_fake 0.0119,
Train Epoch: [1/5] Iters:[850/20018] gen_loss 0.1865, rec_loss 0.0275, lpips_loss 0.1861, g_loss -0.0118, disc_weight 0.5000, disc_adaptive_weight 2.2711, d_loss 0.5438, logits_real 0.0123, logits_fake 0.0118,
Train Epoch: [1/5] Iters:[860/20018] gen_loss 0.1872, rec_loss 0.0277, lpips_loss 0.1861, g_loss -0.0118, disc_weight 0.5000, disc_adaptive_weight 2.2609, d_loss 0.5428, logits_real 0.0120, logits_fake 0.0117,
Train Epoch: [1/5] Iters:[870/20018] gen_loss 0.1884, rec_loss 0.0280, lpips_loss 0.1870, g_loss -0.0117, disc_weight 0.5000, disc_adaptive_weight 2.2595, d_loss 0.5417, logits_real 0.0120, logits_fake 0.0119,
Train Epoch: [1/5] Iters:[880/20018] gen_loss 0.1891, rec_loss 0.0282, lpips_loss 0.1879, g_loss -0.0116, disc_weight 0.5000, disc_adaptive_weight 2.3069, d_loss 0.5411, logits_real 0.0119, logits_fake 0.0118,
Train Epoch: [1/5] Iters:[890/20018] gen_loss 0.1883, rec_loss 0.0279, lpips_loss 0.1873, g_loss -0.0115, disc_weight 0.5000, disc_adaptive_weight 2.3261, d_loss 0.5405, logits_real 0.0116, logits_fake 0.0116,
Train Epoch: [1/5] Iters:[900/20018] gen_loss 0.1909, rec_loss 0.0284, lpips_loss 0.1891, g_loss -0.0113, disc_weight 0.5000, disc_adaptive_weight 2.3745, d_loss 0.5393, logits_real 0.0116, logits_fake 0.0116,
Train Epoch: [1/5] Iters:[910/20018] gen_loss 0.1913, rec_loss 0.0283, lpips_loss 0.1891, g_loss -0.0111, disc_weight 0.5000, disc_adaptive_weight 2.3347, d_loss 0.5387, logits_real 0.0114, logits_fake 0.0114,
Train Epoch: [1/5] Iters:[920/20018] gen_loss 0.1891, rec_loss 0.0281, lpips_loss 0.1875, g_loss -0.0108, disc_weight 0.5000, disc_adaptive_weight 2.4461, d_loss 0.5380, logits_real 0.0109, logits_fake 0.0108,
Train Epoch: [1/5] Iters:[930/20018] gen_loss 0.1882, rec_loss 0.0281, lpips_loss 0.1873, g_loss -0.0105, disc_weight 0.5000, disc_adaptive_weight 2.5744, d_loss 0.5371, logits_real 0.0107, logits_fake 0.0106,
Train Epoch: [1/5] Iters:[940/20018] gen_loss 0.1906, rec_loss 0.0281, lpips_loss 0.1874, g_loss -0.0102, disc_weight 0.5000, disc_adaptive_weight 2.4176, d_loss 0.5363, logits_real 0.0104, logits_fake 0.0103,
Train Epoch: [1/5] Iters:[950/20018] gen_loss 0.1898, rec_loss 0.0278, lpips_loss 0.1866, g_loss -0.0099, disc_weight 0.5000, disc_adaptive_weight 2.4679, d_loss 0.5359, logits_real 0.0099, logits_fake 0.0099,
Train Epoch: [1/5] Iters:[960/20018] gen_loss 0.1898, rec_loss 0.0278, lpips_loss 0.1872, g_loss -0.0095, disc_weight 0.5000, disc_adaptive_weight 2.6224, d_loss 0.5351, logits_real 0.0095, logits_fake 0.0095,
Train Epoch: [1/5] Iters:[970/20018] gen_loss 0.1912, rec_loss 0.0281, lpips_loss 0.1884, g_loss -0.0093, disc_weight 0.5000, disc_adaptive_weight 2.7007, d_loss 0.5343, logits_real 0.0092, logits_fake 0.0093,
Train Epoch: [1/5] Iters:[980/20018] gen_loss 0.1925, rec_loss 0.0281, lpips_loss 0.1885, g_loss -0.0091, disc_weight 0.5000, disc_adaptive_weight 2.6723, d_loss 0.5338, logits_real 0.0089, logits_fake 0.0090,
